author_id,coauthor_id,paper_id,author_name
1,2,2,"Shintaro Yamasaki"
1,3,2,"Shintaro Yamasaki"
1,4,2,"Shintaro Yamasaki"
1,5,2,"Shintaro Yamasaki"
1,1102,833,"Shintaro Yamasaki"
1,771,833,"Shintaro Yamasaki"
1,585,833,"Shintaro Yamasaki"
1,587,833,"Shintaro Yamasaki"
2,3,2,"Atsushi Kawamoto"
2,4,2,"Atsushi Kawamoto"
2,5,2,"Atsushi Kawamoto"
2,1,2,"Atsushi Kawamoto"
3,4,2,"Akira Saito"
3,5,2,"Akira Saito"
3,1,2,"Akira Saito"
3,2,2,"Akira Saito"
4,3,2,"Masakatsu Kuroishi"
4,5,2,"Masakatsu Kuroishi"
4,1,2,"Masakatsu Kuroishi"
4,2,2,"Masakatsu Kuroishi"
5,4,2,"Kikuo Fujita"
5,1,2,"Kikuo Fujita"
5,2,2,"Kikuo Fujita"
5,3,2,"Kikuo Fujita"
5,602,316,"Kikuo Fujita"
5,603,316,"Kikuo Fujita"
5,604,316,"Kikuo Fujita"
5,741,409,"Kikuo Fujita"
5,740,409,"Kikuo Fujita"
5,740,498,"Kikuo Fujita"
5,741,498,"Kikuo Fujita"
5,1056,637,"Kikuo Fujita"
5,604,735,"Kikuo Fujita"
5,1193,735,"Kikuo Fujita"
5,741,820,"Kikuo Fujita"
5,1357,842,"Kikuo Fujita"
5,1356,842,"Kikuo Fujita"
5,604,1002,"Kikuo Fujita"
5,1562,1002,"Kikuo Fujita"
5,1716,1120,"Kikuo Fujita"
5,1717,1120,"Kikuo Fujita"
5,2010,1350,"Kikuo Fujita"
5,1717,1493,"Kikuo Fujita"
6,8,3,"David Guirguis"
6,9,3,"David Guirguis"
6,7,3,"David Guirguis"
7,6,3,"Mohamed Aly"
7,9,3,"Mohamed Aly"
7,8,3,"Mohamed Aly"
7,14,4,"Mohamed Aly"
7,13,4,"Mohamed Aly"
7,12,4,"Mohamed Aly"
7,11,4,"Mohamed Aly"
7,10,4,"Mohamed Aly"
7,8,4,"Mohamed Aly"
7,8,110,"Mohamed Aly"
7,9,110,"Mohamed Aly"
7,369,173,"Mohamed Aly"
7,12,173,"Mohamed Aly"
7,8,173,"Mohamed Aly"
8,9,3,"Karim Hamza"
8,7,3,"Karim Hamza"
8,6,3,"Karim Hamza"
8,13,4,"Karim Hamza"
8,12,4,"Karim Hamza"
8,11,4,"Karim Hamza"
8,10,4,"Karim Hamza"
8,7,4,"Karim Hamza"
8,14,4,"Karim Hamza"
8,59,21,"Karim Hamza"
8,58,21,"Karim Hamza"
8,12,21,"Karim Hamza"
8,60,21,"Karim Hamza"
8,61,21,"Karim Hamza"
8,63,22,"Karim Hamza"
8,62,22,"Karim Hamza"
8,12,22,"Karim Hamza"
8,64,22,"Karim Hamza"
8,61,22,"Karim Hamza"
8,94,33,"Karim Hamza"
8,95,33,"Karim Hamza"
8,9,110,"Karim Hamza"
8,7,110,"Karim Hamza"
8,14,112,"Karim Hamza"
8,12,112,"Karim Hamza"
8,11,112,"Karim Hamza"
8,59,129,"Karim Hamza"
8,62,129,"Karim Hamza"
8,12,129,"Karim Hamza"
8,64,129,"Karim Hamza"
8,61,129,"Karim Hamza"
8,59,132,"Karim Hamza"
8,58,132,"Karim Hamza"
8,12,132,"Karim Hamza"
8,60,132,"Karim Hamza"
8,61,132,"Karim Hamza"
8,369,173,"Karim Hamza"
8,7,173,"Karim Hamza"
8,12,173,"Karim Hamza"
8,12,226,"Karim Hamza"
8,454,226,"Karim Hamza"
8,369,229,"Karim Hamza"
8,12,250,"Karim Hamza"
8,64,250,"Karim Hamza"
8,61,250,"Karim Hamza"
8,63,250,"Karim Hamza"
8,654,352,"Karim Hamza"
8,61,352,"Karim Hamza"
8,61,387,"Karim Hamza"
8,710,387,"Karim Hamza"
8,61,388,"Karim Hamza"
8,710,388,"Karim Hamza"
8,369,427,"Karim Hamza"
8,369,537,"Karim Hamza"
8,12,537,"Karim Hamza"
8,454,537,"Karim Hamza"
8,61,537,"Karim Hamza"
8,61,538,"Karim Hamza"
8,369,538,"Karim Hamza"
8,12,538,"Karim Hamza"
8,454,538,"Karim Hamza"
8,94,590,"Karim Hamza"
8,61,590,"Karim Hamza"
8,61,594,"Karim Hamza"
8,12,597,"Karim Hamza"
8,369,597,"Karim Hamza"
8,61,983,"Karim Hamza"
8,61,1178,"Karim Hamza"
8,970,1383,"Karim Hamza"
8,61,1383,"Karim Hamza"
8,61,1384,"Karim Hamza"
9,7,3,"Hesham Hegazi"
9,8,3,"Hesham Hegazi"
9,6,3,"Hesham Hegazi"
9,7,110,"Hesham Hegazi"
9,8,110,"Hesham Hegazi"
10,12,4,"Mohammed Tauhiduzzaman"
10,11,4,"Mohammed Tauhiduzzaman"
10,8,4,"Mohammed Tauhiduzzaman"
10,7,4,"Mohammed Tauhiduzzaman"
10,14,4,"Mohammed Tauhiduzzaman"
10,13,4,"Mohammed Tauhiduzzaman"
11,10,4,"Mouhab Meshreki"
11,8,4,"Mouhab Meshreki"
11,7,4,"Mouhab Meshreki"
11,14,4,"Mouhab Meshreki"
11,13,4,"Mouhab Meshreki"
11,12,4,"Mouhab Meshreki"
11,14,112,"Mouhab Meshreki"
11,8,112,"Mouhab Meshreki"
11,12,112,"Mouhab Meshreki"
12,10,4,"Ashraf O. Nassef"
12,8,4,"Ashraf O. Nassef"
12,7,4,"Ashraf O. Nassef"
12,14,4,"Ashraf O. Nassef"
12,13,4,"Ashraf O. Nassef"
12,11,4,"Ashraf O. Nassef"
12,58,21,"Ashraf O. Nassef"
12,8,21,"Ashraf O. Nassef"
12,60,21,"Ashraf O. Nassef"
12,59,21,"Ashraf O. Nassef"
12,61,21,"Ashraf O. Nassef"
12,62,22,"Ashraf O. Nassef"
12,8,22,"Ashraf O. Nassef"
12,64,22,"Ashraf O. Nassef"
12,63,22,"Ashraf O. Nassef"
12,61,22,"Ashraf O. Nassef"
12,8,112,"Ashraf O. Nassef"
12,11,112,"Ashraf O. Nassef"
12,14,112,"Ashraf O. Nassef"
12,62,129,"Ashraf O. Nassef"
12,8,129,"Ashraf O. Nassef"
12,64,129,"Ashraf O. Nassef"
12,59,129,"Ashraf O. Nassef"
12,61,129,"Ashraf O. Nassef"
12,58,132,"Ashraf O. Nassef"
12,8,132,"Ashraf O. Nassef"
12,60,132,"Ashraf O. Nassef"
12,59,132,"Ashraf O. Nassef"
12,61,132,"Ashraf O. Nassef"
12,7,173,"Ashraf O. Nassef"
12,8,173,"Ashraf O. Nassef"
12,369,173,"Ashraf O. Nassef"
12,8,226,"Ashraf O. Nassef"
12,454,226,"Ashraf O. Nassef"
12,64,250,"Ashraf O. Nassef"
12,61,250,"Ashraf O. Nassef"
12,63,250,"Ashraf O. Nassef"
12,8,250,"Ashraf O. Nassef"
12,454,537,"Ashraf O. Nassef"
12,61,537,"Ashraf O. Nassef"
12,8,537,"Ashraf O. Nassef"
12,369,537,"Ashraf O. Nassef"
12,369,538,"Ashraf O. Nassef"
12,454,538,"Ashraf O. Nassef"
12,61,538,"Ashraf O. Nassef"
12,8,538,"Ashraf O. Nassef"
12,931,544,"Ashraf O. Nassef"
12,932,544,"Ashraf O. Nassef"
12,8,597,"Ashraf O. Nassef"
12,369,597,"Ashraf O. Nassef"
12,1229,764,"Ashraf O. Nassef"
12,1230,764,"Ashraf O. Nassef"
12,1263,781,"Ashraf O. Nassef"
12,1264,781,"Ashraf O. Nassef"
12,940,917,"Ashraf O. Nassef"
12,60,917,"Ashraf O. Nassef"
12,2013,1354,"Ashraf O. Nassef"
12,2014,1354,"Ashraf O. Nassef"
12,2081,1403,"Ashraf O. Nassef"
12,60,1403,"Ashraf O. Nassef"
