AuthorID,AuthorName,PaperID
1,"Shintaro Yamasaki",2
2,"Atsushi Kawamoto",2
3,"Akira Saito",2
4,"Masakatsu Kuroishi",2
5,"Kikuo Fujita",2
6,"David Guirguis",3
7,"Mohamed Aly",3
8,"Karim Hamza",3
9,"Hesham Hegazi",3
7,"Mohamed Aly",4
8,"Karim Hamza",4
10,"Mohammed Tauhiduzzaman",4
11,"Mouhab Meshreki",4
12,"Ashraf O. Nassef",4
13,"Stephen Veldhuis",4
14,"Helmi Attia",4
15,"Sean T. Ricks",5
16,"John R. Lewandowski",5
17,"Emmanuel G. Lim",5
18,"Dawn M. Wendell",5
19,"Amos G. Winter, V",5
20,"Sree Shankar Satheesh Babu",6
21,"Prakhar Jaiswal",6
22,"Ehsan T. Esfahani",6
23,"Rahul Rai",6
24,"Ashish Khetan",7
25,"James T. Allison",7
26,"Corinna Königseder",8
27,"Kristina Shea",8
28,"Axel Nordin",9
29,"Thomas Stone",10
30,"Seung-Kyum Choi",10
31,"Jeremy Murphy",11
32,"Katherine Fu",11
33,"Kevin Otto",11
34,"Maria Yang",11
35,"Dan Jensen",11
36,"Kristin Wood",11
37,"Jungmok Ma",12
38,"Harrison M. Kim",12
39,"Alex Burnap",13
40,"Yi Ren",13
41,"Honglak Lee",13
42,"Richard Gonzalez",13
43,"Panos Y. Papalambros",13
44,"Kayla A. Von Hagel",14
45,"Scott M. Ferguson",14
46,"Brian Sylcott",15
47,"Seth Orsborn",15
48,"Jonathan Cagan",15
49,"Simon Li",16
50,"Ningrong Lei",17
51,"Seung Ki Moon",17
52,"Weiyang Tong",18
53,"Souma Chowdhury",18
54,"Achille Messac",18
55,"Felipe A. C. Viana",19
56,"Tzu-Chieh Hung",20
57,"Kuei-Yuan Chan",20
58,"Khalid M. Abd El-Aziz",21
8,"Karim Hamza",21
59,"Mohamed El Morsi",21
12,"Ashraf O. Nassef",21
60,"Sayed M. Metwalli",21
61,"Kazuhiro Saitou",21
62,"Jihun Kim",22
8,"Karim Hamza",22
63,"Mohamed El-Morsi",22
12,"Ashraf O. Nassef",22
64,"Sayed Metwalli",22
61,"Kazuhiro Saitou",22
65,"Jie Zhang",23
66,"Anthony Florita",23
67,"Bri-Mathias Hodge",23
68,"Jeffrey Freedman",23
69,"Philip Odonkor",24
70,"Kemper Lewis",24
71,"Jin Wen",24
72,"Teresa Wu",24
73,"Bo Yang Yu",25
74,"Tomonori Honda",25
75,"Syed Zubair",25
76,"Mostafa H. Sharqawy",25
77,"Maria C. Yang",25
78,"Amy Bilton",26
79,"Steven Dubowsky",26
80,"Natasha C. Wright",27
19,"Amos G. Winter, V",27
81,"Daniel Stratton",28
82,"Daniel Martino",28
70,"Kemper Lewis",28
83,"John Hall",28
84,"Steven Hoffenson",29
85,"Rikard Söderberg",29
86,"Minhua Long",30
87,"W. Ross Morrow",30
88,"Mark Christian E. Manuel",31
89,"Jaime P. Honra",31
90,"Manuel C. Belino",31
91,"Zhichao Wang",32
92,"Shapour Azarm",32
93,"P. K. Kannan",32
94,"Kenneth P. Laberteaux",33
