sourcePaperId,targetPaperId
1319,1390
541,1250
506,626
765,868
1193,1251
496,864
496,1046
1067,1577
1067,1342
1067,1264
1067,1267
1067,1200
889,1024
1088,1301
749,864
437,1010
1159,1367
657,1543
657,1395
657,1010
594,1365
594,983
248,750
248,752
637,842
1190,1328
261,1366
261,754
261,750
261,542
261,757
261,486
1205,1347
1205,1284
1205,1264
1205,1577
1205,1559
426,1010
426,1009
426,545
1603,1518
549,953
549,1201
549,1071
549,664
549,663
549,1078
549,1271
538,537
906,1321
906,1082
906,1080
906,1543
906,1327
906,1393
762,1010
1191,1546
1191,1547
1239,1239
1327,1543
1527,1604
874,1366
602,795
454,1546
454,1313
454,1001
551,1250
551,1010
551,1009
1200,1578
1200,1267
614,1287
614,1040
1400,1548
1201,1264
1201,1342
645,920
326,1577
326,1073
326,1348
872,1231
782,891
1085,1205
1085,1286
1085,1200
999,1346
1332,1367
529,1010
529,1392
699,1203
699,1320
970,1222
970,1132
309,351
465,1067
465,1264
465,1347
465,568
465,1342
465,1071
459,1078
459,568
1377,1515
897,1301
938,1239
824,946
824,1200
1277,1278
1253,1540
359,1073
359,1577
391,858
563,1010
298,426
969,1222
969,1187
969,1186
969,1428
1179,1406
1179,1288
1059,1416
1080,1080
470,574
470,906
1008,1543
1008,1250
1008,1327
1008,1271
295,1367
486,1046
486,1550
486,1353
486,1313
486,757
486,857
698,1085
698,1393
1366,1548
794,1181
974,1550
974,1255
440,526
440,504
440,1543
440,526
399,629
399,724
399,725
669,842
625,895
625,858
625,751
625,757
625,750
532,1010
1064,1589
1064,1589
1064,1358
1116,1282
504,760
892,1082
1274,1590
533,1010
533,1321
533,906
533,1078
533,739
533,802
533,1271
533,1543
533,1008
350,1601
452,452
639,1349
639,1089
680,746
680,1282
680,1415
1024,1553
632,1021
632,1174
632,1080
632,1082
632,1203
632,1393
457,1162
457,1050
535,636
535,907
1248,1352
229,531
229,427
229,537
1272,1362
1272,1534
272,861
1353,1548
1353,1547
1391,1393
460,861
1302,1548
1302,1400
843,973
1518,1603
882,1134
882,1553
931,1530
931,1107
1166,1271
443,1238
443,1578
443,1312
622,754
1226,1414
911,911
293,407
773,717
937,1188
937,1251
937,1188
937,1191
937,1353
986,1422
986,1110
354,1302
354,857
354,757
354,497
354,1550
354,1353
354,1313
354,1188
383,861
383,539
383,547
383,543
1252,1368
948,1084
948,1205
1079,1271
750,895
750,857
750,1069
750,752
750,858
763,1418
427,537
1307,1577
1307,1264
1307,1308
1162,1239
1007,1542
910,1238
910,1284
910,1203
910,1197
557,1301
557,675
557,1046
557,675
1134,1553
1293,1489
713,1418
713,762
308,1132
695,1200
601,1132
907,1222
873,1079
873,1271
873,1543
873,1013
873,1395
788,1541
788,1086
788,1584
1107,1530
462,571
407,1418
1203,1366
1203,1577
1203,1284
812,1353
812,1048
812,1048
615,766
663,1323
663,1320
663,1069
1311,1516
1403,1600
982,1196
871,1599
871,1600
871,1601
693,821
693,944
693,943
693,690
693,1073
1040,1287
1040,1287
244,864
244,379
244,492
244,748
244,596
244,1061
856,1532
946,1200
946,1085
925,1050
925,1189
561,663
561,1238
738,1577
1408,1598
1604,1527
580,764
1137,1137
1138,1269
1288,1406
1062,1358
802,1008
608,1320
917,1006
1010,1341
1010,1250
1010,1542
1010,1168
1010,1321
1010,1391
1010,1580
1010,1007
1192,1557
412,486
412,754
412,757
412,857
412,750
1296,1500
416,644
416,1135
648,717
648,1132
1278,1277
292,1080
292,695
1041,1366
991,1134
746,911
746,1188
746,1557
483,1416
483,1416
483,605
483,731
1220,1348
1220,1493
711,1010
711,1580
711,1418
950,1080
950,1205
950,1203
400,1393
315,858
315,857
315,1388
831,1124
831,1516
1340,1579
1340,1580
1340,1530
530,1170
265,496
265,394
1316,1577
796,1222
796,1187
796,1186
796,1349
796,1185
796,1546
796,1557
726,1021
726,1343
726,1393
726,1203
735,1419
735,1226
891,1317
456,1547
456,1557
456,752
675,1301
685,1000
685,1577
685,1197
685,1264
1012,1012
467,1577
467,467
499,1069
499,750
499,752
499,818
1204,1271
1204,1337
1204,1271
676,864
676,927
676,1046
1133,1543
1133,1327
1133,1321
574,1080
574,1393
952,1577
952,1264
952,1395
952,1250
552,1580
552,1056
552,663
552,1559
559,572
559,691
559,821
559,693
1197,1577
1197,1264
1197,1578
505,1121
505,761
1348,1493
491,1349
491,601
491,639
1050,1057
1050,1189
519,1206
304,546
304,442
1358,1589
259,861
410,895
410,754
410,503
410,861
425,1117
1223,1515
978,1238
902,1542
902,1543
902,1007
777,890
247,539
247,547
1349,1550
1349,1546
1349,1557
1349,1547
1349,1529
1349,1549
1002,1162
1309,1349
1309,1352
1054,1547
1054,1557
1054,1353
1054,1550
1054,1548
1054,1546
268,978
268,680
268,1282
1000,1169
492,864
492,748
492,1061
492,596
1305,1541
303,439
303,451
303,1119
768,982
754,861
754,1532
754,1034
1395,1543
899,1162
899,1046
1271,1395
1271,1543
226,537
226,1600
926,1057
800,1264
1036,1182
859,857
1261,1422
941,1068
941,1084
1115,1250
1188,1546
1188,1313
1188,1251
751,861
1313,1547
1313,1349
1313,1550
1313,1352
1313,1350
1313,1347
546,907
546,907
546,805
498,752
555,1002
555,1162
555,813
434,793
434,674
769,1068
607,1101
1095,1326
572,572
572,691
1279,1577
1279,1393
1279,1391
1342,1577
1317,1411
463,1010
571,1344
571,1386
758,895
1052,1313
1052,1349
1052,1546
1052,1557
1052,1547
1052,1052
1052,1248
260,1069
260,861
260,752
260,355
1198,1342
1198,1339
1198,1343
1198,1395
1198,1250
1198,1341
1446,1449
596,864
596,1053
596,749
636,752
770,876
770,982
324,1320
324,1284
692,1084
439,1119
1381,1524
1381,1549
673,752
673,752
673,1069
1386,1581
1025,1515
879,1516
993,1317
290,1010
290,1392
1029,1367
1185,1239
1185,1239
801,1168
801,1392
801,1010
1184,1248
1184,1309
1013,1592
1013,1271
573,632
944,1341
944,1067
995,1368
353,861
353,757
353,497
353,541
353,754
1280,1531
526,1056
1287,1494
864,1055
864,1046
864,1503
864,1053
409,498
912,1177
1030,1367
1030,1134
1189,1349
1189,1248
1189,1239
1189,1239
300,1576
300,1010
394,864
805,907
805,907
296,1010
296,1009
296,1250
1043,1366
417,1589
417,1413
234,484
502,1010
502,1399
502,1125
1362,1534
1362,1534
497,1532
497,1108
497,754
497,506
254,389
254,539
766,1029
816,1054
816,1054
816,932
816,1547
816,1248
704,1365
704,1407
704,846
1264,1577
605,1416
605,731
435,1580
556,1002
556,938
556,932
556,813
903,1271
903,1204
903,1543
1339,1577
927,1057
927,1418
306,1598
352,1362
352,1534
352,1272
915,1170
313,1046
313,556
507,876
507,713
1361,1534
1361,1537
1361,1534
1286,1591
664,1080
664,769
664,953
664,1200
664,1010
664,1271
664,1069
355,857
355,497
355,757
355,354
707,1170
901,1222
428,1271
428,1204
428,1543
531,1010
531,1543
495,748
495,596
495,864
495,1053
495,749
908,1577
908,1203
814,1058
1251,1349
1071,1264
1071,1342
1071,1577
690,943
