DETC2003-48734,DETC2002-34097
DETC2004-57421,DETC2003-48733
DETC2004-57464,DETC2003-48717
DETC2004-57212,DETC2006-99174
DETC2004-57344,DETC2003-48782
DETC2004-57344,DETC2003-48782
DETC2004-57344,DETC2003-48782
DETC2005-84984,DETC2003-48704
DETC2006-99322,DETC2004-57141
DETC2006-99544,DETC2003-48782
DETC2007-34970,DETC2006-99676
DETC2007-34662,DETC2005-84984
DETC2007-34662,DETC2002-34092
DETC2008-50006,DETC2006-99544
DETC2009-86462,DETC2008-49137
DETC2009-87482,DETC2008-49971
DETC2010-28723,DETC2008-49971
DETC2010-28872,DETC2006-99544
DETC2010-28790,DETC2006-99609
DETC2011-48642,DETC2008-49439
DETC2011-48375,DETC2006-99544
DETC2011-48579,DETC2002-34092
DETC2012-71176,DETC2008-49137
DETC2012-71201,DETC2008-49137
DETC2012-71201,DETC2008-49176
DETC2012-71015,DETC2006-99544
DETC2012-70419,DETC2009-87430
