1,Empirical Similarity Analysis Using Adaptive Trigonometric Functions,DETC2009-87488
2,Vehicle Structure Optimization for Crash Pulse,DETC2004-57479
3,Topological Synthesis for Linkage Mechanism Design Using the Minimum Potential Energy Principle,DETC2005-85587
4,Integrated Decision Model for Interrelated Sub-Problems of Part Design or Selection; Machine Loading and Machining Optimization,DETC2009-86123
5,Adaptive Slicing of Moving Least Squares Surfaces: Toward Direct Manufacturing of Point Set Surfaces,DETC2007-35665
6,Plug-In Hybrid Electric Vehicle Battery Selection for Optimum Economic and Environmental Benefits Using Pareto Set Points and PSATTM,DETC2010-28972
7,On Pattern Recognition in Rule-Based Topology Modification,DETC2008-49394
8,Computation of the Usage Contexts Coverage of a Jigsaw With CSP Techniques,DETC2010-28677
9,Predicting Energy Consumption in Humans Using Joint Space Methods,DETC2012-71353
10,Enhanced Multi-Agent Normal Sampling Technique for Global Optimization,DETC2008-49991
11,An Exploration-Estimation Algorithm for Synthesis and Analysis of Engineering Systems Using Minimal Physical Testing,DETC2004-57574
12,Customer Need Driven Function-Behavior Platform Formation,DETC2005-85336
13,Improved Development Cycle of a Compliant Manipulator,DETC2003-48805
14,An Engineering Design Strategy for Reconfigurable Products That Support Poverty Alleviation,DETC2010-28739
15,A Finite Element Approach for the Implementation of Magnetostrictive Material Terfenol-D in CNG Fuel Injection Actuation,DETC2008-50017
16,Reliability-Based Design Using Saddlepoint Approximation,DETC2006-99077
17,A Tool Management System for Probabilistic Design Problems,DETC2002-34143
18,Stochastic Reassembly for Managing the Information Complexity in Multilevel Analysis of Heterogeneous Materials,DETC2012-70668
19,Tolerance Synthesis of Mechanisms: A Robust Design Approach,DETC2003-48737
20,Motion-Based Shape Deformation of Solid Models,DETC2007-34826
21,Causal Design Knowledge Acquisition by Constructing BBN Through FCM,DETC2008-49900
22,An Extended Pattern Search Approach to Wind Farm Layout Optimization,DETC2010-28748
23,A Graphical Modeling Environment for Configuring Modular Product Families and Platforms,DETC2006-99537
24,Fundamental Concepts for Collaboratively Obtaining Optimum Product Designs,DETC2010-28376
25,Optimizing the Shear Beam of a Non-Pneumatic Wheel for Low Rolling Resistance,DETC2011-48532
26,Emerging Virtual Machine Tools,DETC2003-48756
27,Towards Adaptable Architecture,DETC2008-49971
28,Empirical Analysis of Transformers in the Development of a Storyboarding Methodology,DETC2009-87420
29,Multidisciplinary Design Optimization of Ship Hull Forms Using Metamodels,DETC2011-47761
30,Packing Optimization by Enhanced Rubber Band Analogy,DETC2005-85502
31,Hybrid and Adaptive Metamodel Based Global Optimization,DETC2009-87121
32,Automated Vehicle Structural Crashworthiness Design Via a Crash Mode Matching Algorithm,DETC2009-87072
33,A Benchmark Comparison of Curvature Matched Machining versus Three- and Five-Axis Machining Methods Applied to Industrial Part Surfaces,DETC2002-34090
34,A Multidisciplinary and Multiobjective System Analysis and Optimization Methodology for Embedding Integrated Systems Health Management (ISHM) Into NASA's Complex Systems,DETC2006-99619
35,The Evolution of a Layered Manufacturing Interchange Format,DETC2002-34136
36,Policy Design for Sustainable Energy Systems Considering Multiple Objectives and Incomplete Preferences,DETC2012-70426
37,Design Optimization of a Vehicle B-Pillar Subjected to Roof Crush Using Mixed Reactive Taboo Search,DETC2003-48750
38,The Automated Planning for Fixture Location Based on Process Requirement,DETC2010-28205
39,Model Validation via Uncertainty Propagation Using Response Surface Models,DETC2002-34140
40,Assembly and Variety Considerations During Conceptual Design,DETC2008-50050
41,Hierarchical Optimization-Based Approach for Two-Dimensional Rectangular Layout Design Problems,DETC2009-87410
42,Assembly Process Selection to Minimize Existing Assembly System Modification Cost During New Product Family Member Design,DETC2005-85016
43,Exploration in the Preliminary Mechanical Design of Trade-Offs Between Automotive Architectural Constraints and Aggregate Noise Performances,DETC2006-99498
44,A Method to Solve Inverse Kinematics Problems Using Lie Algebra and Its Application to Robot Spray Painting Simulation,DETC2004-57086
45,Automated Symmetry Exploitation in Engineering Analysis,DETC2004-57096
46,An Experimental Approach to Assess the Disparities in the Usage Trends of Domestic Electric Lighting,DETC2012-70835
47,Design and Analysis of a Hybrid Guideway Heating System for Morgantown Personal Rapid Transit,DETC2010-28369
48,Consider-Then-Choose Models in Decision-Based Design Optimization,DETC2012-71176
49,Redesign of a Spatial Gear Pair Using Configuration Spaces,DETC2002-34112
50,Analysis of Loads and Stresses for a Sewing Needle,DETC2002-34062
51,A Methodology for Trading-Off Performance and Robustness Under Uncertainty,DETC2005-85019
52,Influence of Group Cohesion and Information Sharing on Effectivenss of Design Review,DETC2004-57509
53,An Improved Support Vector Domain Description Method for Modeling Valid Search Domains in Engineering Design Problems,DETC2011-48435
54,Modeling of Hydraulic Hose Paths,DETC2002-34152
55,Reducible Uncertain Interval Design (RUID) by Kriging Meta-Model Assisted Multi-Objective Optimization,DETC2010-28456
56,Visually Exploring a Design Space Through the Use of Multiple Contextual Self-Organizing Maps,DETC2011-47944
57,Studies on the Design of Reverse Osmosis Water Desalination Systems for Cost and Energy Efficiency,DETC2010-28493
58,A New Variable Fidelity Optimization Framework Based on Model Fusion and Objective-Oriented Sequential Sampling,DETC2007-35782
59,Comprehensive Product Platform Planning (CP3) Using Mixed-Discrete Particle Swarm Optimization and a New Commonality Index,DETC2012-70954
60,Evaluating the Performance of Visual Steering Commands for User-Guided Pareto Frontier Sampling During Trade Space Exploration,DETC2008-49681
61,Designing Product Families for a Changing Market Space,DETC2005-85164
62,A Comparison of Commonality Indices for Product Family Design,DETC2004-57141
63,A Sequential Exploratory Experimental Design Method: Development of Appropriate Empirical Models in Design,DETC2004-57527
64,Allocating Tolerances Statistically With Tolerance-Maps and Beta Distributions: The Target a Planar Face,DETC2005-85122
65,Math-Based Performance Evaluation of an Experimental Car: Side Impact Protection,DETC2002-34076
66,Pseudo-Hierarchical Multistage Model for System of Systems Design and Operations,DETC2007-35825
67,Genetic Evolution for the Development of Robust Artificial Neural Network Logic Gates,DETC2009-87448
68,Concurrent Parameter Design Based on Constraint Network,DETC2004-57116
69,Using the Compromise Decision Support Problem in Microsystem Design: A Formulation for a Miniature Parylene Gas Chromatographic Column,DETC2004-57582
70,An Asymmetric Dimension-Adaptive Tensor-Product Method for Reliability Analysis,DETC2011-48850
71,An Investigation of Nonlinearity of Reliability-Based Design Optimization Approaches,DETC2002-34128
72,Methodology for Pipeline Route Selection Using the NSGA II and Distance Transform Algorithms,DETC2011-47766
73,A Conceptual Design Synthesis Framework for Micro-Electro-Mechanical Systems (MEMS),DETC2004-57235
74,Haptically Guided Filtering for Reverse Engineering,DETC2004-57539
75,Identification of Product Family Platforms Using Pattern Recognition,DETC2011-47472
76,A Comparative Study of Data-Intensive Demand Modeling Techniques in Relation to Product Design and Development,DETC2009-87049
77,An Improved Kriging Assistant Multi-Objective Genetic Algorithm,DETC2010-28543
78,A Study of Convergence in Decentralized Design,DETC2003-48782
79,Configurable and Extensible System for Experimenting With Design Optimization,DETC2002-34121
80,Variant Design Automation: Strategy and Procedure for Storing Design Process Information,DETC2004-57377
81,On Sequential Sampling for Global Metamodeling in Engineering Design,DETC2002-34092
82,Uncertainty Analysis by Dimension Reduction Integration and Saddlepoint Approximations,DETC2005-84523
