title,Abstract,year
"Automatically Generating Form Concepts According to Consumer Preference: A Shape Grammar Implementation With Software Agents","In new product development, quickly generating many concepts that a potential consumer prefers is a challenge. This paper presents the inaugural application of software agents implementing a shape grammar to generate product designs according to a utility function that represents consumer preference. The method is composed of three sub-processes: a shape grammar interpreter, an agent interpreter, and a utility investigator. These work together to explore the design space and can constrain product form designs according to a utility function that represents consumer design preference.",2008
"Evolutive Design of Car Silhouettes","An Interactive Genetic Algorithm system is proposed for designing a car silhouette while involving the style designer in the evaluation process of a population of individuals. This IGA is based on the principle of an indirect encoding of a closed curve genotype using a primary Fourier decomposition. A crossing over operator is proposed for mixing the parents’ genes by a random weighted average into a new child’s genotype. A perceived similarity index between two genotypes is built to check that our IGA is able to converge toward a target individual starting from the genes of an initial population.",2008
"Generative Design and CNC Fabrication Using Shape Grammars","Generative design and fabrication refers to the ability to autonomously generate designs while simultaneously generating all information to directly fabricate them. This technique is driven by the increasing need to rapidly and flexibly fabricate customized parts and individually designed products. For the automation of the design-to-fabrication process chain, intensive and dynamically updated knowledge from the domains of design and fabrication must be provided. To allow for a flexible, autonomous fabrication, the knowledge modeled must dynamically reflect the state of the fabrication system and its capabilities. This paper presents an approach to unify knowledge for generative design and generative fabrication using shape grammars. With shape grammars, the geometry of designs and their mapping to removal volumes corresponding to fabrication processes on CNC machine tools are represented. The process instructions for fabrication are included by augmenting the removal volume shapes with labels. A new shape grammar approach to represent designs and fabrication processes is presented and validated on an example functional part as a proof-of-concept. The approach enables pushing knowledge downstream, from design and process planning directly to the fabrication system itself providing a stepping stone towards awareness of machine capabilities in fabrication systems and autonomous process planning for customized parts.",2008
"Pultrusion Process Analysis Using Knowledge-Based System","This paper describes the development and validation of analytical and numerical procedures for the simulation of temperature and cure profiles for the pultrusion process. The governing equations for heat transfer and the resin cure reaction during pultrusion are presented and finite-difference procedure is developed to solve the governing equations. Then analytical and numerical procedures are integrated into the ACES (Automated Concurrent Engineering System) software environment. It is shown that the procedures are numerically stable and predict the temperature and cure profiles, which are in good agreement with those published by other researchers. This analysis leads to the prediction of the temperature and cure distribution along the length and through the thickness of the composite. The prediction of the temperature and cure distribution enables proper selection of process variables, which affects the production rate and quality of the parts.",2008
"Causal Design Knowledge Acquisition by Constructing BBN Through FCM","Managing design knowledge is an important concern for industry, including engineering. Engineering firms are facing pressures to increase the quality of their products, to have even shorter lead times and reduced costs. There is also a trend towards globalization resulting in complex supply chains and the need to manage teams that are not necessarily co-located. Design knowledge needs to be exchanged and accessed efficiently. Other motivations for managing design knowledge are to provide a trail for product liability legislation and to retain design knowledge and experience as engineering designers retire. Fuzzy Cognitive Map (FCM) is one of the main formalisms for modeling, representing and reasoning about causal knowledge. Despite the fact that FCM has been used extensively in causal knowledge engineering, there is a lack of methodology for the systematic construction of FCM. Although some techniques were used in the individual construction processes, these techniques were either not systematically documented or too specific to the problem at hand. FCM and Bayesian Belief Network (BBN) are two major frameworks for modeling, representing and reasoning about causal design knowledge. Despite their extensive use in causal design knowledge engineering, there is no reported work which compares their respective roles. This paper deals with three topics, which are systematic constructing FCM, a methodology for FCM-BBN conversion, and comparison FCM and BBN. BBN has a sound mathematical foundation and reasoning capabilities, also it has an efficient evidence propagation mechanism and a proven track record in industryscale applications. However, BBN is less friendly and flexible, and often very time-consuming to generate appropriate conditional probabilities. Thus, Fuzzy Cognitive Map (FCM) is used for the indirect knowledge acquisition, and the causal knowledge in FCM is systematically converted to BBN. Finally, we compare BBNs directly generated by domain experts and generated from FCM, with a realistic industrial example, a fuel nozzle for an aerospace engine.",2008
"Rough Set-Based Design Rule Selection for Collaborative Assembly Design","While the modern product development requires more knowledge-intensive and collaborative environment, the capture, retrieval, accessibility, and reusability of that design knowledge are increasing critical. In this paper, a rough set theory generates demanded rules and selects the appropriate minimal rules among the demanded design rules associated to the assembly design knowledge. The design rules are infrequently captured and often ignored due to its complexity. Rough set theory synthesizes approximation of concepts, analyzes data by discovering patterns, and classifies into certain decision classes. Such patterns can be extracted from data by means of methods based on Boolean reasoning and discernibility. This paper shows the feasibility of rough-set based rule selection considering complex design data objects in order to obtain efficient assembly design decision.",2008
"Agent Based Variation Propagation for Collaborative Top-Down Assembly Design","The design of a complex mechanical product is usually a top-down process carried out by different teams or designers that are geographically distributed. A systematical variation propagation mechanism is very important to fully support such a design process. In this paper, based on the framework for collaborative top-down assembly design previously proposed by the authors, an agent based approach is presented for addressing variation propagation for collaborative top-down assembly design. The approach achieves variation propagation during the collaborative top-down assembly design through the interaction and cooperation of the agents located at the clients and server. To make the variation propagation automated and intelligent, four kinds of variation reasoning including hierarchical variation reasoning, engineering constraint variation reasoning, feature variation reasoning, and assembly constraint variation reasoning are identified, and the corresponding algorithms are developed and utilized. Meanwhile, a distributed assembly model is put forward to effectively support the design variation propagation for the collaborative top-down assembly design. The approach is implemented and a variation propagation example is given.",2008
"Integrating Assembly Design, Sequence Optimization, and Advanced Path Planning","Assembling a product is a delicate process at the borderline between design and manufacturing. Shortening the time between them plays a central role both for quality assurance and fast time to market. In this paper, we describe an automatic tool based on a new method, integrating assembly design, sequence optimization, and advanced rigid body path planning. First, we introduce a greedy algorithm for assembling a product, part by part, based on state-of-the-art path planning. We exploit all the six degrees of freedom of a rigid body to search for collision-free paths, instead of limited motions. Then, we use assembly design in order to limit the search for an optimal assembling sequence and to guarantee geometrical quality among the sequences examined. Disassembly path planning is used here to further cut the state space and to give a quality measure to the sequences. Eventually, we present results for an industrial test case, which has been successfully solved by applying our method.",2008
"Assembly and Variety Considerations During Conceptual Design","Foremost step in the development of any electromechanical product is its design, and conceptual design is the most ambiguous and creative phase of design. There exist only a few computational tools that aid designers at conceptual design stage, and mostly designers rely on personal experience or experience of co-workers to generate quality designs. The proposed framework aims at generating robust computerized conceptual designs by incorporating Modularity, Design for Assembly (DFA) and Design for Variety (DFV) principles at the conceptual stage. Conceptual design alternatives obtained from the proposed framework are ranked based on minimum assembly time, and are composed of modules in a way that future changes in customer needs are satisfied only by replacing certain modules. The framework involves searching a design repository of components by using functional-basis and pre-defined graph grammar rules, to generate all possible conceptual design alternatives. These design alternatives are ranked and filtered using a DFA index, and top two alternatives are selected. Selected designs are modularized and filtered using a DFV index to obtain the best design alternative. This paper provides a detailed discussion of the proposed framework, and its working is illustrated through the design of a mounting system for holding a Variable Message Sign (VMS).",2008
"A Review of Recent Phase Transition Simulation Methods: Transition Path Search","In this paper, we give a review of recent transition path search methods for nanoscale phase transition simulation A potential energy surface (PES) characterizes detailed information about phase transitions where the transition path is related to a minimum energy path on the PES. The minimum energy path connects reactant to product via saddle point(s) on the PES. Once the minimum energy path is generated, the activation energy required for transitions can be determined. Using transition state theory, one can estimate the rate constant of the transition. The rate constant is critical to accurately simulate the transition process with sampling algorithms such as kinetic Monte Carlo.",2008
"A Review of Recent Phase Transition Simulation Methods: Saddle Point Search","A review of saddle point search methods on a potential energy surface is presented in this paper. Finding saddle points on a complex potential energy surface is the major challenge in modeling and simulating the kinetics of first-order phase transitions. Once the saddle points have been identified and the activation energy for the transition is known, one can apply the kinetic Monte Carlo method to simulate the transition process. We consider some factors while reviewing the methods, such as whether the solution is global, the knowledge of the Hessian during the search, the capability to locate multiple saddle points and higher order saddle points, the kind of approximations used for potential energy surface, if any; and the convergence of the methods.",2008
