PaperID,Title,DOI,url
2,"Electromagnetic Design of In-Vehicle Reactor Using a Level-Set Based Topology Optimization Method",10.1115/DETC2014-343,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090498
3,"Image Matching Assessment of Attainable Topology via Kriging-Interpolated Level-Sets",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090499
4,"Multi-Objective Selection of Cutting Conditions in Advanced Machining Processes via an Efficient Global Optimization Approach",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090500
5,"Development of a Design Tool for Flow Rate Optimization in the Tata Swach Water Filter",10.1115/DETC2014-353,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090501
6,"Sketching in Air: A Single Stroke Classification Framework",10.1115/DETC2014-340,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090502
7,"Large-Scale Topology Optimization Using Parameterized Boolean Networks",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090503
8,"Strategies for Topologic and Parametric Rule Application in Automated Design Synthesis Using Graph Grammars",10.1115/DETC2014-346,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090504
9,"Restart Strategies for Constraint-Handling in Generative Design Systems",10.1115/DETC2014-348,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090505
10,"Visualization Tool for Interpreting User Needs From User-Generated Content via Text Mining and Classification",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090506
11,"Facilitating Design-by-Analogy: Development of a Complete Functional Vocabulary and Functional Vector Approach to Analogical Search",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090507
12,"Predictive, Data-Driven Product Family Design",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090508
13,"Improving Preference Prediction Accuracy With Feature Learning",10.1115/DETC2014-354,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090509
14,"Effect of Expert Data Variability in the Change Prediction Method",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090510
15,"The Effect of Product Representation in Visual Conjoint Analysis",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090511
16,"Independence of Irrelevant Alternatives in Engineering Design",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090512
17,"Decision Support Systems Design for Data-Driven Management",10.1115/DETC2014-348,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090513
18,"A New Multi-Objective Mixed-Discrete Particle Swarm Optimization Algorithm",10.1115/DETC2014-355,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090514
19,"Power System Identification Through Simultaneous Model Selection and Bayesian Calibration",10.1115/DETC2014-342,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090515
20,"Component Size Optimization of a Wind-Integrated Microgrid System With Dispatch Strategy and Resource Uncertainty",10.1115/DETC2014-344,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090516
21,"Optimum Solar HDH Desalination for Semi-Isolated Communities Using HGP and GA’s",10.1115/DETC2014-345,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090517
22,"Multi-Level Design Optimization of Reverse Osmosis Water Desalination Powered via Photovoltaic Panels With Battery Storage",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090518
23,"Ramp Forecasting Performance From Improved Short-Term Wind Power Forecasting",10.1115/DETC2014-347,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090519
24,"Energy Optimization in Net-Zero Energy Building Clusters",10.1115/DETC2014-349,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090520
25,"Multi-Disciplinary Design Optimization for Large-Scale Reverse Osmosis Systems",10.1115/DETC2014-350,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090521
