PaperID,DOI,Year,url,Title
2,10.1115/DETC2014-34345,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090498,"Electromagnetic Design of In-Vehicle Reactor Using a Level-Set Based Topology Optimization Method"
3,10.1115/DETC2014-34622,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090499,"Image Matching Assessment of Attainable Topology via Kriging-Interpolated Level-Sets"
4,10.1115/DETC2014-34624,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090500,"Multi-Objective Selection of Cutting Conditions in Advanced Machining Processes via an Efficient Global Optimization Approach"
5,10.1115/DETC2014-35320,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090501,"Development of a Design Tool for Flow Rate Optimization in the Tata Swach Water Filter"
6,10.1115/DETC2014-34065,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090502,"Sketching in Air: A Single Stroke Classification Framework"
7,10.1115/DETC2014-34256,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090503,"Large-Scale Topology Optimization Using Parameterized Boolean Networks"
8,10.1115/DETC2014-34691,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090504,"Strategies for Topologic and Parametric Rule Application in Automated Design Synthesis Using Graph Grammars"
9,10.1115/DETC2014-34858,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090505,"Restart Strategies for Constraint-Handling in Generative Design Systems"
10,10.1115/DETC2014-34424,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090506,"Visualization Tool for Interpreting User Needs From User-Generated Content via Text Mining and Classification"
11,10.1115/DETC2014-34491,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090507,"Facilitating Design-by-Analogy: Development of a Complete Functional Vocabulary and Functional Vector Approach to Analogical Search"
12,10.1115/DETC2014-34753,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090508,"Predictive, Data-Driven Product Family Design"
13,10.1115/DETC2014-35440,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090509,"Improving Preference Prediction Accuracy With Feature Learning"
14,10.1115/DETC2014-34432,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090510,"Effect of Expert Data Variability in the Change Prediction Method"
15,10.1115/DETC2014-34443,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090511,"The Effect of Product Representation in Visual Conjoint Analysis"
16,10.1115/DETC2014-34586,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090512,"Independence of Irrelevant Alternatives in Engineering Design"
17,10.1115/DETC2014-34871,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090513,"Decision Support Systems Design for Data-Driven Management"
18,10.1115/DETC2014-35572,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090514,"A New Multi-Objective Mixed-Discrete Particle Swarm Optimization Algorithm"
19,10.1115/DETC2014-34227,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090515,"Power System Identification Through Simultaneous Model Selection and Bayesian Calibration"
20,10.1115/DETC2014-34471,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090516,"Component Size Optimization of a Wind-Integrated Microgrid System With Dispatch Strategy and Resource Uncertainty"
21,10.1115/DETC2014-34598,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090517,"Optimum Solar HDH Desalination for Semi-Isolated Communities Using HGP and GA’s"
22,10.1115/DETC2014-34731,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090518,"Multi-Level Design Optimization of Reverse Osmosis Water Desalination Powered via Photovoltaic Panels With Battery Storage"
23,10.1115/DETC2014-34775,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090519,"Ramp Forecasting Performance From Improved Short-Term Wind Power Forecasting"
24,10.1115/DETC2014-34970,2014,http://proceedings.asmedigitalcollection.asme.org//proceeding.aspx?articleID=2090520,"Energy Optimization in Net-Zero Energy Building Clusters"
