A. Almansoori,1.0,2009 
A. Boyars,1.0,2002 
A. Diaz,1.0,2003 
A. Farhang-Mehr,1.0,2002 
A. Farhang-Mehr,1.0,2003 
A. G. Olabi,1.0,2008 
A. J. Keane,2.0,2005 
A. J. Keane,1.0,2006 
A. Meghdari,1.0,2003 
A. Purwar,1.0,2003 
A. R. Rao,1.0,2005 
A. Ravisekar,1.0,2003 
A. Shepherd,1.0,2002 
Aaron Bobuk,1.0,2010 
Aaron Stange,1.0,2006 
Abbas S. Milani,3.0,2010 
Abdalla Elbella,1.0,2006 
Abdelbasset Hamdi,1.0,2006 
Abdennour Seibi,1.0,2008 
Abdulaziz T. Almaktoom,1.0,2013 
Abdullah M. Al-Shabibi,1.0,2005 
Abhijit K. Choudhury,1.0,2006 
Abhinav Krishna Choudhary,1.0,2010 
Abhishek Kumar,1.0,2009 
Abhishek Kumar,1.0,2010 
Abigail R. Mechtenberg,1.0,2011 
Abir Z. Qamhiyah,1.0,2003 
Achille Messac,1.0,2002 
Achille Messac,2.0,2005 
Achille Messac,1.0,2006 
Achille Messac,1.0,2007 
Achille Messac,1.0,2008 
Achille Messac,2.0,2010 
Achille Messac,2.0,2011 
Achille Messac,1.0,2012 
Achille Messac,3.0,2013 
Achille Messac,2.0,2014 
Adam B. Cooper,1.0,2003 
Adam Cutbill,1.0,2013 
Adam Dixon,1.0,2009 
Adam J. Andersen,1.0,2011 
Adam P. Dachowicz,1.0,2014 
Adarsh Krishnamurthy,1.0,2009 
Adebayo O. Adewunmi,1.0,2014 
Adel A. Younis,1.0,2013 
Adel Younis,1.0,2007 
Adel Younis,1.0,2013 
Aditya Soman,1.0,2002 
Adrian Sannier,1.0,2006 
Advait A. Limaye,1.0,2003 
Adwait Vaidya,1.0,2003 
Afreen Siddiqi,1.0,2007 
Aftab Ahmad,1.0,2013 
Agus Sudjianto,1.0,2002 
Agus Sudjianto,5.0,2003 
Agus Sudjianto,5.0,2004 
Ahmad Khairyanto,1.0,2005 
Ahmad Nourbakhsh,1.0,2002 
Ahmad Smaili,1.0,2002 
Ahmed A. Shabana,1.0,2002 
Aida Khajavirad,2.0,2007 
Aida Khajavirad,1.0,2008 
Aimin Wang,1.0,2003 
Akbar Afaghi-Khatibi,1.0,2010 
Akhil Sopory,2.0,2004 
Aki M. Mikkola,1.0,2002 
Akihiro Takezawa,1.0,2003 
Akihiro Takezawa,1.0,2004 
Akihiro Takezawa,1.0,2005 
Akin Keskin,1.0,2004 
Akira Saito,1.0,2014 
Akira Yamaguchi,1.0,2007 
Akira Yao,1.0,2002 
