Achille Messac,1.0,2002 
Achille Messac,2.0,2005 
Achille Messac,1.0,2006 
Achille Messac,1.0,2007 
Achille Messac,1.0,2008 
Achille Messac,2.0,2010 
Achille Messac,2.0,2011 
Achille Messac,1.0,2012 
Achille Messac,3.0,2013 
Achille Messac,2.0,2014 
Agus Sudjianto,1.0,2002 
Agus Sudjianto,5.0,2003 
Agus Sudjianto,5.0,2004 
Andres Tovar,1.0,2003 
Andres Tovar,1.0,2009 
Andres Tovar,1.0,2010 
Andres Tovar,3.0,2012 
Andres Tovar,2.0,2013 
Ashraf O. Nassef,2.0,2002 
Ashraf O. Nassef,2.0,2003 
Ashraf O. Nassef,1.0,2007 
Ashraf O. Nassef,2.0,2008 
Ashraf O. Nassef,1.0,2009 
Ashraf O. Nassef,3.0,2010 
Ashraf O. Nassef,2.0,2012 
Ashraf O. Nassef,4.0,2013 
Ashraf O. Nassef,3.0,2014 
Bernard Yannou,1.0,2003 
Bernard Yannou,1.0,2004 
Bernard Yannou,1.0,2005 
Bernard Yannou,1.0,2006 
Bernard Yannou,1.0,2007 
Bernard Yannou,1.0,2008 
Bernard Yannou,1.0,2009 
Bernard Yannou,2.0,2010 
Bernard Yannou,2.0,2011 
Bernard Yannou,2.0,2012 
Bernard Yannou,2.0,2013 
Byeng D. Youn,1.0,2002 
Byeng D. Youn,1.0,2003 
Byeng D. Youn,1.0,2004 
Byeng D. Youn,1.0,2005 
Byeng D. Youn,5.0,2007 
Byeng D. Youn,2.0,2008 
Byeng D. Youn,2.0,2009 
Byeng D. Youn,1.0,2010 
Byeng D. Youn,3.0,2011 
Byeng D. Youn,2.0,2012 
Byeng D. Youn,1.0,2013 
Byeng D. Youn,2.0,2014 
Carolyn C. Seepersad,1.0,2006 
Carolyn C. Seepersad,1.0,2008 
Carolyn C. Seepersad,4.0,2009 
Carolyn C. Seepersad,1.0,2010 
Carolyn C. Seepersad,1.0,2011 
Carolyn C. Seepersad,2.0,2012 
Carolyn C. Seepersad,2.0,2013 
Carolyn C. Seepersad,1.0,2014 
Carolyn Conner Seepersad,1.0,2002 
Carolyn Conner Seepersad,1.0,2003 
Carolyn Conner Seepersad,1.0,2004 
Carolyn Conner Seepersad,1.0,2005 
Carolyn Conner Seepersad,2.0,2006 
Chao Hu,1.0,2009 
Chao Hu,1.0,2010 
Chao Hu,2.0,2011 
Chao Hu,1.0,2012 
Chao Hu,3.0,2013 
Christiaan J. J. Paredis,1.0,2005 
Christiaan J. J. Paredis,3.0,2006 
Christiaan J. J. Paredis,1.0,2007 
Christiaan J. J. Paredis,1.0,2009 
Christiaan J. J. Paredis,1.0,2011 
Christiaan J. J. Paredis,1.0,2012 
Christopher A. Mattson,1.0,2002 
Christopher A. Mattson,1.0,2010 
Christopher A. Mattson,3.0,2011 
Christopher A. Mattson,3.0,2012 
Christopher A. Mattson,1.0,2013 
Christopher A. Mattson,2.0,2014 
Christopher Hoyle,1.0,2008 
Christopher Hoyle,3.0,2009 
Christopher Hoyle,1.0,2010 
Christopher Hoyle,1.0,2011 
Christopher Hoyle,1.0,2012 
Christopher Hoyle,1.0,2014 
Conrad S. Tucker,1.0,2007 
Conrad S. Tucker,1.0,2009 
Conrad S. Tucker,1.0,2010 
Conrad S. Tucker,2.0,2012 
Conrad S. Tucker,1.0,2013 
D. Xue,2.0,2004 
D. Xue,2.0,2005 
D. Xue,1.0,2007 
D. Xue,1.0,2009 
D. Xue,1.0,2010 
Damiano Pasini,1.0,2008 
Damiano Pasini,1.0,2009 
Damiano Pasini,3.0,2010 
Damiano Pasini,3.0,2011 
Dan Jensen,1.0,2006 
Dan Jensen,1.0,2008 
Dan Jensen,1.0,2009 
Dan Jensen,1.0,2010 
Dan Jensen,1.0,2011 
Dan Jensen,1.0,2012 
Dan Jensen,1.0,2014 
Dan Zhang,1.0,2003 
Dan Zhang,1.0,2004 
Dan Zhang,1.0,2005 
Dan Zhang,1.0,2007 
Dan Zhang,2.0,2008 
Dan Zhang,1.0,2009 
Daniel W. Apley,1.0,2006 
Daniel W. Apley,1.0,2010 
Daniel W. Apley,1.0,2011 
Daniel W. Apley,1.0,2012 
Daniel W. Apley,1.0,2013 
Daniel W. Apley,1.0,2014 
David Gorsich,1.0,2007 
David Gorsich,1.0,2008 
David Gorsich,1.0,2009 
David Gorsich,2.0,2010 
David Gorsich,1.0,2011 
David Gorsich,1.0,2012 
David Gorsich,2.0,2013 
David Gorsich,1.0,2014 
David L. McDowell,1.0,2003 
David L. McDowell,3.0,2005 
David L. McDowell,2.0,2006 
David L. McDowell,2.0,2007 
David L. McDowell,1.0,2009 
Efstratios Nikolaidis,1.0,2006 
Efstratios Nikolaidis,1.0,2008 
Efstratios Nikolaidis,1.0,2009 
Efstratios Nikolaidis,2.0,2010 
Efstratios Nikolaidis,2.0,2011 
Erich Devendorf,1.0,2008 
Erich Devendorf,1.0,2009 
Erich Devendorf,1.0,2010 
Erich Devendorf,2.0,2011 
Erich Devendorf,1.0,2012 
Erich Devendorf,1.0,2013 
Fabrice Alizon,2.0,2006 
Fabrice Alizon,2.0,2007 
Fabrice Alizon,2.0,2008 
Fabrice Alizon,1.0,2009 
Farrokh Mistree,3.0,2002 
Farrokh Mistree,1.0,2003 
Farrokh Mistree,2.0,2004 
Farrokh Mistree,5.0,2005 
Farrokh Mistree,4.0,2006 
Farrokh Mistree,3.0,2007 
Farrokh Mistree,1.0,2008 
Farrokh Mistree,3.0,2009 
Farrokh Mistree,2.0,2010 
Farrokh Mistree,1.0,2011 
Farrokh Mistree,3.0,2013 
Farrokh Mistree,5.0,2014 
Fouad Bennis,2.0,2003 
Fouad Bennis,1.0,2009 
Fouad Bennis,1.0,2011 
Fouad Bennis,2.0,2012 
Fouad Bennis,2.0,2013 
Frank Liou,1.0,2004 
Frank Liou,1.0,2006 
Frank Liou,1.0,2007 
Frank Liou,1.0,2008 
Frank Liou,2.0,2009 
Frank Liou,2.0,2010 
G. Gary Wang,1.0,2002 
G. Gary Wang,3.0,2003 
G. Gary Wang,1.0,2004 
G. Gary Wang,1.0,2005 
G. Gary Wang,1.0,2006 
G. Gary Wang,3.0,2007 
G. Gary Wang,1.0,2008 
G. Gary Wang,1.0,2009 
G. Gary Wang,4.0,2010 
G. Gary Wang,2.0,2011 
G. Gary Wang,1.0,2012 
G. Gary Wang,5.0,2013 
G. Gary Wang,4.0,2014 
Georges Fadel,1.0,2004 
Georges Fadel,2.0,2006 
Georges Fadel,1.0,2007 
Georges Fadel,1.0,2008 
Georges Fadel,1.0,2009 
Georges Fadel,1.0,2011 
Georges Fadel,3.0,2012 
Georges Fadel,3.0,2014 
Georges M. Fadel,1.0,2003 
