sourcePaperId,targetPaperId
1319,1390
1193,1251
1159,1367
1190,1328
1205,1347
1205,1284
1205,1264
1205,1577
1205,1559
1603,1518
1191,1546
1191,1547
1239,1239
1327,1543
1527,1604
1200,1578
1200,1267
1400,1548
1201,1264
1201,1342
1332,1367
1377,1515
1277,1278
1253,1540
1179,1406
1179,1288
1366,1548
1116,1282
1274,1590
1248,1352
1272,1362
1272,1534
1353,1548
1353,1547
1391,1393
1302,1548
1302,1400
1518,1603
1166,1271
1226,1414
1252,1368
1307,1577
1307,1264
1307,1308
1162,1239
1134,1553
1293,1489
1107,1530
1203,1366
1203,1577
1203,1284
1311,1516
1403,1600
1408,1598
1604,1527
1137,1137
1138,1269
1288,1406
1192,1557
1296,1500
1278,1277
1220,1348
1220,1493
1340,1579
1340,1580
1340,1530
1316,1577
1204,1271
1204,1337
1204,1271
1133,1543
1133,1327
1133,1321
1197,1577
1197,1264
1197,1578
1348,1493
1358,1589
1223,1515
1349,1550
1349,1546
1349,1557
1349,1547
1349,1529
1349,1549
1309,1349
1309,1352
1305,1541
1395,1543
1271,1395
1271,1543
1261,1422
1115,1250
1188,1546
1188,1313
1188,1251
1313,1547
1313,1349
1313,1550
1313,1352
1313,1350
1313,1347
1095,1326
1279,1577
1279,1393
1279,1391
1342,1577
1317,1411
1198,1342
1198,1339
1198,1343
1198,1395
1198,1250
1198,1341
1446,1449
1381,1524
1381,1549
1386,1581
1185,1239
1185,1239
1184,1248
1184,1309
1280,1531
1287,1494
1189,1349
1189,1248
1189,1239
1189,1239
1362,1534
1362,1534
1264,1577
1339,1577
1361,1534
1361,1537
1361,1534
1286,1591
1251,1349
1139,1252
1187,1186
1187,1428
1241,1399
1295,1577
1295,1339
1295,1264
1295,1308
1411,1525
1151,1427
1281,1530
1199,1307
1199,1577
1199,1264
1199,1220
1199,1342
1199,1493
1300,1574
1407,1601
1320,1323
1299,1365
1534,1534
1178,1385
1178,1319
1178,1271
1194,1239
1233,1398
1290,1422
1096,1238
1096,1415
1096,1282
1096,1325
1096,1399
1110,1422
1257,1410
1206,1271
1186,1222
1124,1123
1124,1403
1321,1573
1397,1500
1270,1353
1270,1547
1177,1232
1284,1577
1284,1264
1323,1320
1202,1295
1202,1577
1202,1264
1202,1343
1282,1415
1119,1435
1262,1376
1262,1382
1243,1553
1343,1577
1308,1577
1308,1264
