key,value,date
MinHo Kyung,1.0,2002
MinHo Kyung,0,2003
MinHo Kyung,0,2004
MinHo Kyung,0,2005
MinHo Kyung,0,2006
MinHo Kyung,0,2007
MinHo Kyung,0,2008
MinHo Kyung,0,2009
MinHo Kyung,0,2010
MinHo Kyung,0,2011
MinHo Kyung,0,2012
Mostafa Nouri,1.0,2002
Mostafa Nouri,0,2003
Mostafa Nouri,0,2004
Mostafa Nouri,0,2005
Mostafa Nouri,0,2006
Mostafa Nouri,0,2007
Mostafa Nouri,0,2008
Mostafa Nouri,0,2009
Mostafa Nouri,0,2010
Mostafa Nouri,0,2011
Mostafa Nouri,0,2012
Wei Chen,3.0,2002
Wei Chen,3.0,2003
Wei Chen,3.0,2004
Wei Chen,2.0,2005
Wei Chen,3.0,2006
Wei Chen,2.0,2007
Wei Chen,2.0,2008
Wei Chen,8.0,2009
Wei Chen,3.0,2010
Wei Chen,4.0,2011
Wei Chen,3.0,2012
Kurt A Chipperfield,2.0,2002
Kurt A Chipperfield,0,2003
Kurt A Chipperfield,0,2004
Kurt A Chipperfield,0,2005
Kurt A Chipperfield,0,2006
Kurt A Chipperfield,0,2007
Kurt A Chipperfield,0,2008
Kurt A Chipperfield,0,2009
Kurt A Chipperfield,0,2010
Kurt A Chipperfield,0,2011
Kurt A Chipperfield,0,2012
Kristin L Wood,1.0,2002
Kristin L Wood,0,2003
Kristin L Wood,0,2004
Kristin L Wood,0,2005
Kristin L Wood,2.0,2006
Kristin L Wood,1.0,2007
Kristin L Wood,1.0,2008
Kristin L Wood,6.0,2009
Kristin L Wood,0,2010
Kristin L Wood,1.0,2011
Kristin L Wood,0,2012
M M F Yuen,1.0,2002
M M F Yuen,0,2003
M M F Yuen,0,2004
M M F Yuen,0,2005
M M F Yuen,0,2006
M M F Yuen,0,2007
M M F Yuen,0,2008
M M F Yuen,0,2009
M M F Yuen,0,2010
M M F Yuen,0,2011
M M F Yuen,0,2012
Kazuhiro Izui,2.0,2002
Kazuhiro Izui,2.0,2003
Kazuhiro Izui,3.0,2004
Kazuhiro Izui,3.0,2005
Kazuhiro Izui,2.0,2006
Kazuhiro Izui,3.0,2007
Kazuhiro Izui,3.0,2008
Kazuhiro Izui,2.0,2009
Kazuhiro Izui,0,2010
Kazuhiro Izui,0,2011
Kazuhiro Izui,0,2012
TungKing See,1.0,2002
TungKing See,1.0,2003
TungKing See,1.0,2004
TungKing See,1.0,2005
TungKing See,0,2006
TungKing See,0,2007
TungKing See,0,2008
TungKing See,0,2009
TungKing See,0,2010
TungKing See,0,2011
TungKing See,0,2012
Hiroshi Yamakawa,2.0,2002
Hiroshi Yamakawa,1.0,2003
Hiroshi Yamakawa,0,2004
Hiroshi Yamakawa,0,2005
Hiroshi Yamakawa,1.0,2006
Hiroshi Yamakawa,0,2007
Hiroshi Yamakawa,0,2008
Hiroshi Yamakawa,0,2009
Hiroshi Yamakawa,0,2010
Hiroshi Yamakawa,0,2011
Hiroshi Yamakawa,0,2012
Sundar Krishnamurty,2.0,2002
Sundar Krishnamurty,0,2003
Sundar Krishnamurty,0,2004
Sundar Krishnamurty,0,2005
Sundar Krishnamurty,3.0,2006
Sundar Krishnamurty,0,2007
Sundar Krishnamurty,0,2008
Sundar Krishnamurty,0,2009
Sundar Krishnamurty,0,2010
Sundar Krishnamurty,0,2011
Sundar Krishnamurty,0,2012
Farrokh Mistree,3.0,2002
Farrokh Mistree,1.0,2003
Farrokh Mistree,2.0,2004
Farrokh Mistree,5.0,2005
Farrokh Mistree,4.0,2006
Farrokh Mistree,3.0,2007
Farrokh Mistree,1.0,2008
Farrokh Mistree,3.0,2009
Farrokh Mistree,2.0,2010
Farrokh Mistree,1.0,2011
Farrokh Mistree,0,2012
Basavaraj Tonshal,1.0,2002
Basavaraj Tonshal,0,2003
Basavaraj Tonshal,1.0,2004
Basavaraj Tonshal,1.0,2005
Basavaraj Tonshal,1.0,2006
Basavaraj Tonshal,1.0,2007
Basavaraj Tonshal,0,2008
Basavaraj Tonshal,0,2009
Basavaraj Tonshal,0,2010
Basavaraj Tonshal,0,2011
